S1_1_3_ID,S1_1_3_S1_F1_RA,S1_1_3_S1_F1_DEC,S1_1_3_S1_F1_MAG1_1,S1_1_3_S1_F1_ERR1_1,S1_1_3_S1_F3_ID,S1_1_3_S1_F3_RA,S1_1_3_S1_F3_DEC,S1_1_3_S1_F3_MAG1_3,S1_1_3_S1_F3_ERR1_3,S1_1_3_Separation_S1_F3_S1_F1,S1_1_3_Separation_max,S1_1_3_ncat,S1_1_3_dist_bayesfactor,S1_1_3_dist_post,S1_1_3_p_single,S1_1_3_p_any,S1_1_3_p_i,S1_1_3_match_flag,S1_1_3_asn,S1_1_3_RA,S1_1_3_DEC,S1_F4_ID,S1_F4_RA,S1_F4_DEC,S1_F4_MAG1_4,S1_F4_ERR1_4,Separation_S1_F4_S1_1_3,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag
'6302',10.65656522,40.86667018,16.66550491,0.0811,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.65656522,40.86667018,'12092',10.65644197,40.86658527,16.44950491,0.0803,0.45390067,0.45390067,2,11.4675665,0.9082933,0.9082933,0.9082933,1,1
'6304',10.70682006,40.80241886,17.68050491,0.0754,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.70682006,40.80241886,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'6305',10.70714326,40.80344824,17.77550491,0.067,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.70714326,40.80344824,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9656257,0,0
'6305',10.70714326,40.80344824,17.77550491,0.067,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.70714326,40.80344824,'9577',10.7071169,40.80349951,18.46150491,0.1447,0.19805723,0.19805723,2,11.920316,0.9656257,0.9656257,0.9656257,1,1
'6306',10.70654548,40.80461756,16.76050491,0.0419,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.70654548,40.80461756,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'6307',10.73425706,40.76816337,18.89050491,0.1007,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.73425706,40.76816337,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'6309',10.71473343,40.79628167,17.97750491,0.0608,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.71473343,40.79628167,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.199677,0,0
'6309',10.71473343,40.79628167,17.97750491,0.0608,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.71473343,40.79628167,'9135',10.71488717,40.79606304,18.83150491,0.1355,0.8916455,0.8916455,2,9.868804,0.199677,0.199677,0.199677,1,1
'6310',10.69130686,40.83257819,16.75250491,0.0465,'7544',10.69133414,40.83249385,16.75450491,0.064,0.31258437,0.31258437,2,11.761575,0.9506598,0.9506598,0.9506598,1,1,2,10.6913205,40.83253602,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.97280204,0,0
'6310',10.69130686,40.83257819,16.75250491,0.0465,'7544',10.69133414,40.83249385,16.75450491,0.064,0.31258437,0.31258437,2,11.761575,0.9506598,0.9506598,0.9506598,1,1,2,10.6913205,40.83253602,'8315',10.69131588,40.83253035,16.81450491,0.048,0.023979388,0.023979388,2,12.025229,0.97280204,0.97280204,0.97280204,1,1
