S1_1_3_ID,S1_1_3_S1_F1_RA,S1_1_3_S1_F1_DEC,S1_1_3_S1_F1_MAG1_1,S1_1_3_S1_F1_ERR1_1,S1_1_3_S1_F3_ID,S1_1_3_S1_F3_RA,S1_1_3_S1_F3_DEC,S1_1_3_S1_F3_MAG1_3,S1_1_3_S1_F3_ERR1_3,S1_1_3_Separation_S1_F3_S1_F1,S1_1_3_Separation_max,S1_1_3_ncat,S1_1_3_dist_bayesfactor,S1_1_3_dist_post,S1_1_3_p_single,S1_1_3_p_any,S1_1_3_p_i,S1_1_3_match_flag,S1_1_3_asn,S1_1_3_RA,S1_1_3_DEC,S1_F4_ID,S1_F4_RA,S1_F4_DEC,S1_F4_MAG1_4,S1_F4_ERR1_4,Separation_S1_F4_S1_1_3,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag
'45',10.78697958,40.78582137,16.30350491,0.0169,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.78697958,40.78582137,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'46',10.75998896,40.82328419,16.79450491,0.0311,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.75998896,40.82328419,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'47',10.80853891,40.75889828,16.34650491,0.0154,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.80853891,40.75889828,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'48',10.75551701,40.85913237,18.81850491,0.0831,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.75551701,40.85913237,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'49',10.7733551,40.8215255,17.74250491,0.041,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.7733551,40.8215255,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'50',10.71748579,40.89177533,16.03450491,0.0228,'3260',10.71743186,40.89174199,16.03450491,0.0247,0.18959413,0.18959413,2,12.238572,0.98298913,0.98298913,0.98298913,1,1,2,10.717458825,40.89175866,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9903017,0,0
'50',10.71748579,40.89177533,16.03450491,0.0228,'3260',10.71743186,40.89174199,16.03450491,0.0247,0.18959413,0.18959413,2,12.238572,0.98298913,0.98298913,0.98298913,1,1,2,10.717458825,40.89175866,'7096',10.71741832,40.89174796,16.20550491,0.0274,0.116767354,0.116767354,2,12.480814,0.9903017,0.9903017,0.9903017,1,1
'51',10.76497782,40.83270738,17.38050491,0.041,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.76497782,40.83270738,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'52',10.72841103,40.90198672,17.01850491,0.0498,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.72841103,40.90198672,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'54',10.73344849,40.88060148,16.58550491,0.0363,'6093',10.73339091,40.88059321,16.70450491,0.0385,0.15952803,0.15952803,2,12.352539,0.98686385,0.98686385,0.98686385,1,1,2,10.7334197,40.880597345,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.98824185,0,0
