ID,RA,Dec,total_associations,ID_36_1,RA_36_1,Dec_36_1,mag_36_1,mag_err_36_1,ID_36_3,RA_36_3,Dec_36_3,mag_36_3,mag_err_36_3,sep_36_1_3,p_any_36_1_3,p_i_36_1_3,ID_36_4,RA_36_4,Dec_36_4,mag_36_4,mag_err_36_4,sep_36_1&3_4,p_any_36_1&3_4,p_i_36_1&3_4,36_associations,ID_45_1,RA_45_1,Dec_45_1,mag_45_1,mag_err_45_1,ID_45_3,RA_45_3,Dec_45_3,mag_45_3,mag_err_45_3,sep_45_1_3,p_any_45_1_3,p_i_45_1_3,ID_45_4,RA_45_4,Dec_45_4,mag_45_4,mag_err_45_4,sep_45_1&3_4,p_any_45_1&3_4,p_i_45_1&3_4,45_associations,sep_mean_36_mean_45,p_any_36_45,p_i_36_45
681,10.61289134,40.8758973,5,5923,10.61292307,40.8758854,15.95050491,0.0248,9999,9999,9999,9999,9999,9999,0,0,5514,10.61286548,40.87587524,16.15550491,0.0311,0.1609741,0.96828324,1,2,4195,10.61296492,40.87590224,16.30455224,0.0368,3041,10.61288227,40.8759065,16.39355224,0.0292,0.22550064,0.9600035,1,1183,10.61281804,40.87593409,16.38555224,0.0296,0.3066012,0.94817394,1,3,0.12328209,0.9712151,1
682,10.63772163,40.84462561,6,5924,10.63779409,40.844613,17.44950491,0.0536,139,10.63772736,40.84457902,17.80050491,0.071,0.21906537,0.96335566,1,6823,10.63771379,40.84461325,17.54750491,0.0595,0.14209153,0.96936345,1,3,1313,10.63770851,40.844678,17.90455224,0.0772,5315,10.63771901,40.84464581,18.00255224,0.0706,0.119359896,0.96792006,1,4531,10.637667,40.84462459,18.28155224,0.0747,0.18510014,0.9637375,1,3,0.21405247,0.9653544,1
683,10.63728022,40.84699917,4,5925,10.6375574,40.84715687,17.68350491,0.0825,6843,10.63736458,40.84707322,17.51050491,0.0698,0.60531944,0.7822839,1,9999,9999,9999,9999,9999,9999,0,0,2,587,10.63710521,40.84688274,18.62955224,0.1394,9999,9999,9999,9999,9999,9999,0,0,11770,10.63709369,40.84688384,18.60255224,0.1535,0.031620856,0.97034216,1,2,1.2905246,0.001117663,1
684,10.63856902,40.84844915,6,5927,10.63866119,40.84839775,17.32750491,0.0568,10737,10.6387424,40.84843655,18.06450491,0.0641,0.26156846,0.9585719,1,5632,10.6385604,40.84841929,17.33550491,0.0443,0.38512298,0.9342347,1,3,1944,10.63853214,40.84854356,17.68955224,0.0534,6079,10.638481,40.84843432,17.70355224,0.0656,0.41719422,0.9174461,1,1817,10.63843697,40.8484634,17.83755224,0.0819,0.2106582,0.9614622,1,3,0.51799315,0.87399006,1
685,10.62473804,40.86409961,5,5932,10.62480684,40.8640973,16.29050491,0.0405,4130,10.62481895,40.86403904,16.31450491,0.0351,0.2123116,0.9639931,1,7191,10.62477685,40.86405825,16.33450491,0.0407,0.104430325,0.9710406,1,3,5440,10.62467094,40.8641631,17.13055224,0.097,9999,9999,9999,9999,9999,9999,0,0,4488,10.62467945,40.86410563,16.98555224,0.0569,0.20818524,0.9617014,1,2,0.42390168,0.9234809,1
686,10.63553061,40.8513318,5,5934,10.63548355,40.85138778,17.89350491,0.0642,9999,9999,9999,9999,9999,9999,0,0,6825,10.63546189,40.85129424,17.78650491,0.0587,0.3418704,0.9453271,1,2,7096,10.63576587,40.85128389,17.76655224,0.0811,12230,10.63549258,40.85132987,18.07355224,0.0607,0.76237583,0.46747455,0.99366105,6501,10.63550703,40.85135402,18.26955224,0.0863,0.37352288,0.93227524,1,3,0.32215545,0.95096946,1
687,10.64126449,40.84589439,6,5937,10.64133018,40.84587998,16.92650491,0.0443,690,10.64126041,40.84583428,16.69750491,0.0325,0.25133356,0.95985544,1,6844,10.64126221,40.84585751,16.72750491,0.0301,0.09011072,0.9716548,0.995352,3,2767,10.64130079,40.84590932,17.09255224,0.0388,6777,10.64125005,40.84592867,16.97155224,0.0319,0.15474573,0.9659834,1,6042,10.64118331,40.84595657,17.04055224,0.0344,0.28499132,0.9519626,1,3,0.28822842,0.9566639,1
688,10.64348053,40.84463387,5,5939,10.64352688,40.84465671,15.77850491,0.0358,9999,9999,9999,9999,9999,9999,0,0,6323,10.64346443,40.84462482,15.97450491,0.0481,0.2051946,0.9650236,1,2,4687,10.64353112,40.84465106,15.96755224,0.0526,5788,10.64345743,40.84461438,15.81555224,0.0385,0.24023025,0.9583244,1,4570,10.64340765,40.84461547,16.30655224,0.044,0.24394672,0.9578006,1,3,0.09620415,0.9722356,1
689,10.6527045,40.83291176,5,5942,10.6527709,40.83289767,16.57650491,0.052,5680,10.6527384,40.83288816,16.53150491,0.0487,0.09491414,0.9710496,1,9999,9999,9999,9999,9999,9999,0,0,2,5932,10.65271461,40.83291967,16.86355224,0.0626,6135,10.65265979,40.83295354,16.85755224,0.0492,0.1927796,0.9631618,1,3253,10.65258867,40.8329186,16.87155224,0.0587,0.27609533,0.95336926,1,3,0.3050196,0.95400816,1
690,10.65655777,40.83646032,6,5946,10.65661545,40.83648601,16.43750491,0.0457,7368,10.65655073,40.83645728,16.28450491,0.0435,0.20437925,0.96470326,1,9933,10.65653261,40.83646225,17.77950491,0.0924,0.14159049,0.96938986,1,3,9756,10.65668829,40.83636435,19.04155224,0.3185,3294,10.65654536,40.8364767,16.49855224,0.0443,0.561373,0.8214699,1,4623,10.65641418,40.83651533,16.44855224,0.0485,0.6489401,0.7031099,1,3,0.07497086,0.98472697,0.55559456
